Ministries/Departments,Head Of Expenditure,Detailed Head Of Expenditure,Actual 2021-2022 Total,Budget 2022-2023 Total,Revised 2022-2023 Total,Budget 2023-2024 Total,Anomaly,Anomaly_Flag
"Ministry of Environment, Forests and Climate Change",National Zoological Park,Gross Budgetary Support,30.89,34.5,33.0,37.0,1,Normal
"Ministry of Environment, Forests and Climate Change",National Zoological Park,Less Gate Receipts,-3.4,-5.0,-8.0,-10.0,1,Normal
"Ministry of Environment, Forests and Climate Change",National Authority,Total National Authority,0.12,0.0,0.0,-10.0,1,Normal
"Ministry of Environment, Forests and Climate Change",National Authority,Gross Budgetary Support,173.89,250.0,243.82,463.25,1,Normal
"Ministry of Environment, Forests and Climate Change",National Authority,Less Amount met from National Compensatory Afforestation Fund,-173.77,-250.0,-243.82,-463.25,1,Normal
"Ministry of Environment, Forests and Climate Change",Forestry Training and Capacity Building,Total Forestry Training and Capacity Building,4.96,8.62,6.57,-463.25,1,Normal
"Ministry of Environment, Forests and Climate Change",Forestry Training and Capacity Building,Programme Component,4.96,8.62,6.57,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Eco-Task Force,Total Eco-Task Force,110.0,70.0,80.0,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Environmental Knowledge and Capacity Building,Total Environmental Knowledge and Capacity Building,0.0,0.0,0.0,92.86,1,Normal
"Ministry of Environment, Forests and Climate Change",National Coastal Mission (NCM),Total National Coastal Mission (NCM),27.79,195.0,4.0,92.86,1,Normal
"Ministry of Environment, Forests and Climate Change",National Coastal Mission (NCM),Programme Component,27.79,25.0,4.0,12.5,1,Normal
"Ministry of Environment, Forests and Climate Change",National Coastal Mission (NCM),EAP Component,0.0,170.0,0.0,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Hazardous Substances Management (HSM),Total Hazardous Substances Management (HSM),4.9,4.5,4.0,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Hazardous Substances Management (HSM),Programme Component,4.9,4.5,4.0,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Climate Change Action Plan,Total Climate Change Action Plan,24.91,30.0,25.0,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",National Adaptation Fund,Total National Adaptation Fund,59.78,60.0,34.0,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",National Mission on Himalayan Studies,Total National Mission on Himalayan Studies,35.5,48.0,30.0,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change","Environmental Education, Awareness and Training","Total Environmental Education, Awareness and Training",54.54,58.7,12.2,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Environment Information Systems (ENVIS),Total Environment Information Systems (ENVIS),27.16,23.5,22.0,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",R and D for Conservation and Development,Total R and D for Conservation and Development,6.21,4.75,2.5,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change","Environment Education, Awareness, Research and Skill Development","Total Environment Education, Awareness, Research and Skill Development",0.0,0.0,0.0,87.4,1,Normal
"Ministry of Environment, Forests and Climate Change",Control of Pollution,Total Control of Pollution,406.7,460.0,600.0,756.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Central Pollution Control Board,Total Central Pollution Control Board,115.73,100.0,100.0,105.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Central Zoo Authority,Total Central Zoo Authority,11.0,10.0,9.0,10.0,1,Normal
"Ministry of Environment, Forests and Climate Change",National Biodiversity Authority,Total National Biodiversity Authority,15.52,17.5,15.5,16.4,1,Normal
"Ministry of Environment, Forests and Climate Change",National Tiger Conservation Authority,Total National Tiger Conservation Authority,9.86,10.0,10.0,11.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Commission for Air Quality Management,Total Commission for Air Quality Management,19.5,17.0,16.0,17.0,1,Normal
"Ministry of Environment, Forests and Climate Change",GB Pant Himalayan Institue of Environment and Development,Total GB Pant Himalayan Institue of Environment and Development,24.0,22.0,24.0,25.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Indian Council of Forestry Research and Education,Total Indian Council of Forestry Research and Education,230.0,210.0,227.64,230.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Indian Institute of Forest Management,Total Indian Institute of Forest Management,27.65,25.0,25.0,17.5,1,Normal
"Ministry of Environment, Forests and Climate Change",Indian Plywood Industries Research and Training Institute,Total Indian Plywood Industries Research and Training Institute,8.25,7.45,7.45,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Wildlife Institute of India,Total Wildlife Institute of India,25.5,23.0,24.0,36.5,1,Normal
"Ministry of Environment, Forests and Climate Change",Salim Ali Centre for Ornithology and Natural History (SACON),Total Salim Ali Centre for Ornithology and Natural History (SACON),10.5,9.0,9.0,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",National Mission for a Green India,Total National Mission for a Green India,253.81,361.69,214.18,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",National Mission for a Green India,Transfer to Sovereign Green Fund,0.0,0.0,188.0,169.0,1,Normal
"Ministry of Environment, Forests and Climate Change",National Mission for a Green India,Green India Mission-National Afforestation Programme,204.51,300.0,170.5,167.28,1,Normal
"Ministry of Environment, Forests and Climate Change",National Mission for a Green India,Green India Mission- National Afforestation Programme (EAP Component),14.49,17.5,17.5,1.72,1,Normal
"Ministry of Environment, Forests and Climate Change",National Mission for a Green India,Amount met from Sovereign Green Fund,0.0,0.0,-188.0,-169.0,1,Normal
"Ministry of Environment, Forests and Climate Change",National Mission for a Green India,Forest Fire Prevention and Management,34.81,44.19,26.18,51.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Integrated Development of Wildlife Habitats,Total Integrated Development of Wildlife Habitats,357.88,510.0,305.0,51.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Integrated Development of Wildlife Habitats,Project Tiger,219.93,300.0,188.0,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Integrated Development of Wildlife Habitats,Project Elephant,30.2,35.0,32.0,0.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Integrated Development of Wildlife Habitats,Development of Wildlife Habitats,92.75,132.5,60.0,135.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Integrated Development of Wildlife Habitats,Development of Wildlife Habitats (EAP Component),15.0,42.5,25.0,25.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Integrated Development of Wildlife Habitats,Project Tiger & Elephant,0.0,0.0,0.0,331.8,1,Normal
"Ministry of Environment, Forests and Climate Change",Conservation of Natural Resources and Ecosystems,Total Conservation of Natural Resources and Ecosystems,45.78,58.5,30.0,331.8,1,Normal
"Ministry of Environment, Forests and Climate Change",Conservation of Natural Resources and Ecosystems,Biodiversity Conservation,3.12,8.5,5.0,7.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Conservation of Natural Resources and Ecosystems,Conservation of Aquatic Ecosystems,42.06,48.4,23.4,38.4,1,Normal
"Ministry of Environment, Forests and Climate Change",Conservation of Natural Resources and Ecosystems,Conservation of Aquatic Ecosystems (EAP Component),0.6,1.6,1.6,1.6,1,Normal
"Ministry of Environment, Forests and Climate Change",Forestry and Wild Life,Total Forestry and Wild Life,632.01,594.0,608.86,591.63,1,Normal
"Ministry of Environment, Forests and Climate Change",Ecology and Environment,Total Ecology and Environment,1025.95,1215.75,1063.63,1180.63,1,Normal
"Ministry of Environment, Forests and Climate Change",Secretariat-Economic Services,Total Secretariat-Economic Services,140.8,168.74,170.6,353.33,1,Normal
"Ministry of Environment, Forests and Climate Change",Capital Outlay on Forestry and Wild Life,Total Capital Outlay on Forestry and Wild Life,18.99,32.0,26.6,48.1,1,Normal
"Ministry of Environment, Forests and Climate Change",Capital Outlay on Other Scientific and Environmental Research,Total Capital Outlay on Other Scientific and Environmental Research,11.44,83.0,46.16,95.17,1,Normal
"Ministry of Environment, Forests and Climate Change",Capital Outlay on Other General Economic Services,Total Capital Outlay on Other General Economic Services,0.0,0.0,0.0,2.11,1,Normal
"Ministry of Environment, Forests and Climate Change",North Eastern Areas,Total North Eastern Areas,0.0,193.0,141.82,186.0,1,Normal
"Ministry of Environment, Forests and Climate Change",Grants-in-aid to State Governments,Total Grants-in-aid to State Governments,603.49,742.06,418.23,619.43,1,Normal
"Ministry of Environment, Forests and Climate Change",Grants-in-aid to Union Territory Governments,Total Grants-in-aid to Union Territory Governments,0.0,1.45,2.1,3.0,1,Normal
Ministry of External Affairs,Secretariat,Total Secretariat,446.0,541.79,887.19,1518.29,1,Normal
Ministry of External Affairs,Embassies and Missions,Total Embassies and Missions,3033.71,3769.06,3512.16,3528.85,1,Normal
Ministry of External Affairs,Passport and Emigration,Total Passport and Emigration,949.57,996.67,1154.76,997.78,1,Normal
Ministry of External Affairs,Scheme for Welfare of Women abroad,Total Scheme for Welfare of Women abroad,0.0,0.0,0.0,997.78,1,Normal
Ministry of External Affairs,Scheme for Welfare of Women abroad,One Stop Centre (Funded from Nirbhaya Fund),0.0,5.0,1.25,5.0,1,Normal
Ministry of External Affairs,Scheme for Welfare of Women abroad,Amount met from Nirbhaya Fund,0.0,-5.0,-1.25,-5.0,1,Normal
Ministry of External Affairs,Other Expenditure of Ministry,Total Other Expenditure of Ministry,473.17,854.22,565.06,900.43,1,Normal
Ministry of External Affairs,Bhutan,Total Bhutan,1646.56,2266.24,2500.15,2400.58,1,Normal
Ministry of External Affairs,Afghanistan,Total Afghanistan,166.37,200.0,350.0,200.0,1,Normal
Ministry of External Affairs,Bangladesh,Total Bangladesh,219.53,300.0,170.0,200.0,1,Normal
Ministry of External Affairs,Nepal,Total Nepal,446.43,750.0,425.0,550.0,1,Normal
Ministry of External Affairs,Sri Lanka,Total Sri Lanka,48.56,200.0,75.0,150.0,1,Normal
Ministry of External Affairs,Maldives,Total Maldives,246.1,360.0,400.0,400.0,1,Normal
Ministry of External Affairs,Myanmar,Total Myanmar,598.25,600.0,500.0,400.0,1,Normal
Ministry of External Affairs,Mongolia,Total Mongolia,0.0,12.0,2.5,7.0,1,Normal
Ministry of External Affairs,African Countries,Total African Countries,141.92,250.0,160.0,250.0,1,Normal
Ministry of External Affairs,Eurasian Countries,Total Eurasian Countries,83.96,140.0,65.0,75.0,1,Normal
Ministry of External Affairs,Latin American Countries,Total Latin American Countries,37.69,40.0,7.0,50.0,1,Normal
Ministry of External Affairs,Other Developing Countries,Total Other Developing Countries,83.7,150.0,135.0,150.0,1,Normal
Ministry of External Affairs,Disaster Relief,Total Disaster Relief,0.76,10.0,5.0,5.0,1,Normal
Ministry of External Affairs,Chabahar Port,Total Chabahar Port,100.0,100.0,100.0,100.0,1,Normal
Ministry of External Affairs,Mauritius,Total Mauritius,839.16,900.0,575.0,460.79,1,Normal
Ministry of External Affairs,Seychelles,Total Seychelles,18.46,14.06,6.45,10.0,1,Normal
Ministry of External Affairs,Support to International Training/Programmes,Total Support to International Training/Programmes,262.45,447.7,519.6,435.21,1,Normal
Ministry of External Affairs,Aid for Cultural & Heritage Project,Total Aid for Cultural & Heritage Project,0.0,10.0,10.0,5.0,1,Normal
Ministry of External Affairs,Indian Council of Cultural Relations (ICCR),Total Indian Council of Cultural Relations (ICCR),148.35,320.0,320.0,345.21,1,Normal
Ministry of External Affairs,Assistance to Other Autonomous Bodies,Total Assistance to Other Autonomous Bodies,38.68,34.9,32.46,35.29,1,Normal
Ministry of External Affairs,Special Diplomatic Expenditure,Total Special Diplomatic Expenditure,3117.44,3100.01,3550.01,4162.01,1,Normal
Ministry of External Affairs,International Cooperation,Total International Cooperation,566.28,518.86,472.54,295.36,1,Normal
Ministry of External Affairs,Nalanda University,Total Nalanda University,350.0,200.0,300.0,250.0,1,Normal
Ministry of External Affairs,South Asian University,Total South Asian University,99.98,128.0,116.0,129.0,1,Normal
Ministry of External Affairs,Demarcation of Boundaries,Total Demarcation of Boundaries,1.25,2.0,3.5,2.0,1,Normal
Ministry of External Affairs,Celebration of Pravasi Bhartiya Divas,Total Celebration of Pravasi Bhartiya Divas,0.45,10.0,30.0,15.0,1,Normal
Ministry of External Affairs,Expenditure relating to Pilgrimages abroad,Total Expenditure relating to Pilgrimages abroad,0.0,1.0,0.13,1.0,1,Normal
Ministry of External Affairs,Loss by exchange,Total Loss by exchange,0.0,0.01,0.01,0.01,1,Normal
Ministry of External Affairs,Training,Total Training,8.92,23.48,23.27,21.19,1,Normal
Ministry of External Affairs,Secretariat-General Services,Total Secretariat-General Services,445.81,541.79,887.19,1518.29,1,Normal
Ministry of External Affairs,External Affairs,Total External Affairs,8337.8,9248.2,9617.07,9931.25,1,Normal
Ministry of External Affairs,Miscellaneous General Services,Total Miscellaneous General Services,0.0,0.01,0.01,0.01,1,Normal
Ministry of External Affairs,Capital Outlay on Public Works,Total Capital Outlay on Public Works,239.38,410.0,262.82,353.0,1,Normal
Ministry of External Affairs,Capital Outlay on Other Administrative Services,Total Capital Outlay on Other Administrative Services,0.0,0.0,0.0,66.82,1,Normal
Ministry of External Affairs,Capital Outlay on Miscellaneous General Services,Total Capital Outlay on Miscellaneous General Services,0.0,0.0,0.0,24.05,1,Normal
Ministry of External Affairs,Capital Outlay on Housing,Total Capital Outlay on Housing,185.45,300.0,200.0,308.0,1,Normal
Ministry of External Affairs,Technical and Economic Co-operation with Other Countries,Total Technical and Economic Co-operation with Other Countries,4493.74,6043.77,5284.83,5080.24,1,Normal
Ministry of External Affairs,Advances to Foreign Governments,Total Advances to Foreign Governments,443.42,706.23,720.87,768.34,1,Normal
Ministry of Food Processing Industries,Secretariat,Total Secretariat,29.81,40.0,42.54,126.86,1,Normal
Ministry of Food Processing Industries,International Cooperation,Total International Cooperation,0.16,0.18,0.18,0.18,1,Normal
Ministry of Food Processing Industries,Pradhan Mantri Kisan Sampada Yojana,Total Pradhan Mantri Kisan Sampada Yojana,713.49,900.0,673.0,923.24,1,Normal
Ministry of Food Processing Industries,Production-Linked Incentive Scheme for Food Processing Industry,Total Production-Linked Incentive Scheme for Food Processing Industry,9.27,1022.0,801.0,1530.0,1,Normal
Ministry of Food Processing Industries,Indian Institute of Food Processing Technology (IIFPT),Total Indian Institute of Food Processing Technology (IIFPT),27.7,0.0,0.0,0.0,1,Normal
Ministry of Food Processing Industries,National Institute of Food Technology Entrepreneurship and Management (NIFTEM)-KUNDLI,Total National Institute of Food Technology Entrepreneurship and Management (NIFTEM)-KUNDLI,40.5,79.81,94.87,38.26,1,Normal
Ministry of Food Processing Industries,National Institute of Food Technology Entrepreneurship and Management (NIFTEM)-THANJAVUR,Total National Institute of Food Technology Entrepreneurship and Management (NIFTEM)-THANJAVUR,0.0,0.0,0.0,30.06,1,Normal
Ministry of Food Processing Industries,Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME),Total Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME),326.46,900.0,290.0,639.05,1,Normal
Ministry of Food Processing Industries,Food Storage and Warehousing,Total Food Storage and Warehousing,888.7,2411.99,1721.25,2826.92,1,Normal
Ministry of Food Processing Industries,Secretariat-Economic Services,Total Secretariat-Economic Services,29.81,40.0,42.54,125.1,1,Normal
Ministry of Food Processing Industries,Capital Outlay on Food Storage and Warehousing,Total Capital Outlay on Food Storage and Warehousing,0.0,0.0,0.0,0.7,1,Normal
Ministry of Food Processing Industries,Capital Outlay on Other General Economic Services,Total Capital Outlay on Other General Economic Services,0.0,0.0,0.0,1.76,1,Normal
Ministry of Food Processing Industries,North Eastern Areas,Total North Eastern Areas,0.0,180.0,96.3,156.42,1,Normal
Ministry of Food Processing Industries,Grants-in-aid to State Governments,Total Grants-in-aid to State Governments,225.63,300.0,40.0,171.75,1,Normal
Ministry of Food Processing Industries,Grants-in-aid to Union Territory Governments,Total Grants-in-aid to Union Territory Governments,2.26,10.0,1.5,5.0,1,Normal
Ministry of Heavy Industries,Secretariat,Total Secretariat,32.03,32.93,36.28,39.02,1,Normal
Ministry of Heavy Industries,Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).,Total Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).,800.0,2908.28,2897.84,5171.97,1,Normal
Ministry of Heavy Industries,Development Council for Automobile and Allied Industries,Total Development Council for Automobile and Allied Industries,21.7,28.62,5.0,0.0,1,Normal
Ministry of Heavy Industries,Production Linked Incentive (PLI) Scheme for Automobiles and Auto Components,Total Production Linked Incentive (PLI) Scheme for Automobiles and Auto Components,0.0,3.0,10.74,604.0,1,Normal
Ministry of Heavy Industries,Production Linked Incentive (PLI) Scheme for National Programme on Advanced Chemistry Cell (ACC) Battery Storage,Total Production Linked Incentive (PLI) Scheme for National Programme on Advanced Chemistry Cell (ACC) Battery Storage,0.0,3.0,0.9,1.0,1,Normal
Ministry of Heavy Industries,Enhancement of Competitiveness in the Indian Capital Goods Sector,Total Enhancement of Competitiveness in the Indian Capital Goods Sector,28.94,200.0,199.6,250.0,1,Normal
Ministry of Heavy Industries,Industry Associations and PSUs for undertaking promotional activities,Total Industry Associations and PSUs for undertaking promotional activities,0.05,0.25,0.0,0.0,1,Normal
Ministry of Heavy Industries,Central Manufacturing Technology Institute (CMTI),Total Central Manufacturing Technology Institute (CMTI),15.0,24.0,24.0,24.0,1,Normal
Ministry of Heavy Industries,Support to Central Public Sector Enterprises,Total Support to Central Public Sector Enterprises,280.27,105.92,45.97,81.64,1,Normal
Ministry of Heavy Industries,Industries,Total Industries,1008.5,3180.86,3140.08,6108.3,1,Normal
Ministry of Heavy Industries,Secretariat-Economic Services,Total Secretariat-Economic Services,32.03,32.93,36.28,37.02,1,Normal
Ministry of Heavy Industries,Capital Outlay on Engineering Industries,Total Capital Outlay on Engineering Industries,0.0,0.05,0.0,0.05,1,Normal
Ministry of Heavy Industries,Capital Outlay on Consumer Industries,Total Capital Outlay on Consumer Industries,78.41,44.3,0.0,0.02,1,Normal
Ministry of Heavy Industries,Capital Outlay on Other General Economic Services,Total Capital Outlay on Other General Economic Services,0.0,0.0,0.0,2.0,1,Normal
Ministry of Heavy Industries,Loans for  Cement and Non-Metallic Mineral Industries,Total Loans for  Cement and Non-Metallic Mineral Industries,0.0,0.01,0.0,0.01,1,Normal
Ministry of Heavy Industries,Loans for  Engineering Industries,Total Loans for  Engineering Industries,17.0,47.81,0.0,24.19,1,Normal
Ministry of Heavy Industries,Loans for  Consumer Industries,Total Loans for  Consumer Industries,31.64,0.04,43.97,0.04,1,Normal
Ministry of Heavy Industries,Bharat Heavy Electricals Ltd,Total Bharat Heavy Electricals Ltd,231.0,223.0,223.0,200.0,1,Normal
Ministry of Heavy Industries,Heavy Engineering Corporation Limited,Total Heavy Engineering Corporation Limited,0.0,0.01,0.0,0.01,1,Normal
Ministry of Heavy Industries,Scooter India Limited,Total Scooter India Limited,0.0,0.01,0.0,0.01,1,Normal
Ministry of Heavy Industries,HMT Limited,Total HMT Limited,4.71,25.21,13.33,22.29,1,Normal
Ministry of Heavy Industries,Hindustan Cables Limited,Total Hindustan Cables Limited,0.0,0.01,0.0,0.01,1,Normal
Ministry of Heavy Industries,Andrew Yule and Co Ltd,Total Andrew Yule and Co Ltd,29.27,23.5,38.53,37.0,1,Normal
Ministry of Heavy Industries,Engineering Projects India Limited,Total Engineering Projects India Limited,0.58,2.25,1.5,1.0,1,Normal
Ministry of Heavy Industries,Rajasthan Electronics and Instruments Limited,Total Rajasthan Electronics and Instruments Limited,0.02,0.0,0.0,0.0,1,Normal
Ministry of Heavy Industries,Bridge and Roof  Company Limited,Total Bridge and Roof  Company Limited,1.96,5.0,5.0,3.0,1,Normal
Ministry of Heavy Industries,Richardson and Cruddas Limited,Total Richardson and Cruddas Limited,0.0,0.01,0.0,0.01,1,Normal
Ministry of Heavy Industries,Braithwaite Burn Jessop Construction Company Limited,Total Braithwaite Burn Jessop Construction Company Limited,1.04,1.0,4.5,1.0,1,Normal
Ministry of Heavy Industries,Nepa Limited,Total Nepa Limited,78.41,44.29,0.0,0.01,1,Normal
Ministry of Heavy Industries,Hindustan Salt Limited,Total Hindustan Salt Limited,0.0,0.01,0.0,0.01,1,Normal
Ministry of Heavy Industries,Cement Corporation of India,Total Cement Corporation of India,5.8,57.89,21.49,17.51,1,Normal
Ministry of Home Affairs,Secretariat,Total Secretariat,581.28,700.98,638.66,797.25,1,Normal
Ministry of Home Affairs,Official Languages,Total Official Languages,65.13,88.09,75.54,93.26,1,Normal
Ministry of Home Affairs,National Disaster Response Force (NDRF),Total National Disaster Response Force (NDRF),1305.06,1335.58,1419.01,1601.02,1,Normal
Ministry of Home Affairs,Relief and Rehabilitation for migrants and repatriates,Total Relief and Rehabilitation for migrants and repatriates,352.33,299.76,383.42,301.61,1,Normal
Ministry of Home Affairs,Freedom Fighters (pension and other benefits),Total Freedom Fighters (pension and other benefits),729.2,688.14,654.95,653.08,1,Normal
Ministry of Home Affairs,Helicopter Services,Total Helicopter Services,101.06,116.0,111.0,653.08,1,Normal
Ministry of Home Affairs,Helicopter Services,North Eastern Region,100.0,100.0,100.0,110.0,1,Normal
Ministry of Home Affairs,Helicopter Services,Ladakh,0.0,5.0,3.0,5.0,1,Normal
Ministry of Home Affairs,Helicopter Services,Jammu and Kashmir and Himachal Pradesh,1.06,11.0,8.0,11.0,1,Normal
Ministry of Home Affairs,Infrastructure for Disaster Management,Total Infrastructure for Disaster Management,127.64,86.04,92.12,141.73,1,Normal
Ministry of Home Affairs,National Cyclone Risk Mitigation Project,Total National Cyclone Risk Mitigation Project,169.99,300.0,0.0,0.0,1,Normal
Ministry of Home Affairs,Other Disaster Management Schemes,Total Other Disaster Management Schemes,238.11,106.74,105.74,251.92,1,Normal
Ministry of Home Affairs,Civic Action Programme and Media Plan,Total Civic Action Programme and Media Plan,23.94,25.0,15.0,30.0,1,Normal
Ministry of Home Affairs,National Human Right Commission (NHRC),Total National Human Right Commission (NHRC),59.03,75.61,70.0,70.0,1,Normal
Ministry of Home Affairs,"Census, Survey and Statistics/Registrar General of India(RGI)","Total Census, Survey and Statistics/Registrar General of India(RGI)",505.12,3676.0,552.65,1564.65,1,Normal
Ministry of Home Affairs,Other Central Miscellaneous Expenditure,Total Other Central Miscellaneous Expenditure,51.92,94.04,93.48,93.48,1,Normal
Ministry of Home Affairs,National Cyclone Risk Mitigation Project,Total National Cyclone Risk Mitigation Project,0.0,0.0,165.6,110.0,1,Normal
Ministry of Home Affairs,Home Guards,Total Home Guards,3.49,0.02,18.31,18.31,1,Normal
Ministry of Home Affairs,Civil Defence,Total Civil Defence,8.0,8.0,12.29,8.0,1,Normal
Ministry of Home Affairs,Payment to State Governments for Administration of Central Acts,Total Payment to State Governments for Administration of Central Acts,40.0,20.0,40.0,40.0,1,Normal
Ministry of Home Affairs,Grants to Autonomous Council for North Eastern States,Total Grants to Autonomous Council for North Eastern States,0.0,1.0,1.0,1.0,1,Normal
Ministry of Home Affairs,Council of Ministers,Total Council of Ministers,0.0,1.0,1.0,1.0,1,Normal
Ministry of Home Affairs,Secretariat-General Services,Total Secretariat-General Services,505.84,564.65,532.58,588.46,1,Normal
Ministry of Home Affairs,Jails,Total Jails,1.0,1.51,1.21,1.51,1,Normal
Ministry of Home Affairs,Other Administrative Services,Total Other Administrative Services,201.63,256.06,224.94,270.23,1,Normal
Ministry of Home Affairs,Miscellaneous General Services,Total Miscellaneous General Services,0.01,0.04,0.04,0.04,1,Normal
Ministry of Home Affairs,Capital Outlay on Public Works,Total Capital Outlay on Public Works,2.66,10.0,0.0,0.0,1,Normal
Ministry of Home Affairs,Capital Outlay on Other Administrative Services,Total Capital Outlay on Other Administrative Services,42.91,48.02,30.02,131.42,1,Normal
Ministry of Home Affairs,Social Security and Welfare,Total Social Security and Welfare,789.06,726.29,699.21,691.19,1,Normal
Ministry of Home Affairs,Relief on account of Natural Calamities,Total Relief on account of Natural Calamities,1513.02,1511.93,1566.26,1832.07,1,Normal
Ministry of Home Affairs,Other Social Services,Total Other Social Services,0.27,0.12,0.01,0.12,1,Normal
Ministry of Home Affairs,Capital Outlay on other Social Services,Total Capital Outlay on other Social Services,221.83,160.36,171.5,277.95,1,Normal
Ministry of Home Affairs,Civil Aviation,Total Civil Aviation,100.0,105.0,103.0,115.0,1,Normal
Ministry of Home Affairs,Census Surveys and Statistics,Total Census Surveys and Statistics,452.12,3433.0,504.14,1504.14,1,Normal
Ministry of Home Affairs,Capital Outlay on Other General Economic Services,Total Capital Outlay on Other General Economic Services,13.0,18.0,16.0,19.5,1,Normal
Ministry of Home Affairs,North Eastern Areas,Total North Eastern Areas,0.0,200.0,17.51,17.51,1,Normal
Ministry of Home Affairs,Grants-in-aid to State Governments,Total Grants-in-aid to State Governments,515.02,574.66,573.99,440.81,1,Normal
Ministry of Home Affairs,Grants-in-aid to Union Territory Governments,Total Grants-in-aid to Union Territory Governments,1.41,10.36,7.36,10.36,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Secretariat,Total Secretariat,65.01,70.35,76.39,74.31,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Other Establishment,Total Other Establishment,2301.66,2435.16,2460.27,2575.5,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Total Schemes of UT,3129.1,2892.86,2720.41,2575.5,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Welfare of Tribal and Other Backward Classes,0.35,0.69,0.45,0.69,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Disaster Management,7.57,1.84,2.45,0.51,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Agriculture and Allied Activities,13.43,22.76,21.13,28.93,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Water Supply and Sanitation,122.65,95.47,92.3,140.38,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Rural Development,48.68,79.05,64.86,89.86,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Power,882.78,789.08,841.93,882.64,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Forestry and Wildlife,26.92,38.93,33.71,40.56,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Civil Supplies,21.59,26.54,22.81,20.22,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Medical and Public Health,125.2,126.72,110.99,127.17,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,"Education, Sports, Arts and Culture",50.43,60.86,59.3,59.72,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Social Welfare,84.86,97.47,92.38,101.17,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Village and Small Industries,2.23,2.89,2.44,2.65,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Information and Publicity,2.1,3.63,2.96,3.09,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Labour and Employment,4.58,4.35,7.2,4.2,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Road Transport,40.78,45.56,48.0,55.28,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Roads and Bridges,103.97,163.04,112.84,165.03,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Port and Light Houses,59.2,118.86,113.83,170.0,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Shipping,411.84,537.27,545.99,515.43,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Civil Aviation,83.41,123.75,97.47,123.0,1,Normal
Ministry of Home Affairs (Andaman and Nicobar Islands,Schemes of UT,Tourism,6.89,11.36,11.66,12.8,1,Normal
